Period,States and Territories,SA4 name,SA3 name,SA2 name,ATMs,Bank_post,Branch,Other face-to-face,Total,ATM_prop,Branch_prop,Bank_post_prop,Other_prop
2021-06-30,ACT,Australian Capital Territory,North Canberra,Lyneham,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,ACT,Australian Capital Territory,North Canberra,O'Connor (ACT),0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,ACT,Australian Capital Territory,North Canberra,Russell,1,0,2,0,3,0.3333333333333333,0.6666666666666666,0.0,0.0
2021-06-30,ACT,Australian Capital Territory,North Canberra,Watson,1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,ACT,Australian Capital Territory,South Canberra,Barton,1,0,0,0,1,1.0,0.0,0.0,0.0
2021-06-30,ACT,Australian Capital Territory,South Canberra,Deakin,2,2,1,0,5,0.4,0.2,0.4,0.0
2021-06-30,ACT,Australian Capital Territory,South Canberra,Forrest,0,0,0,1,1,0.0,0.0,0.0,1.0
2021-06-30,ACT,Australian Capital Territory,South Canberra,Fyshwick,3,2,2,0,7,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0
2021-06-30,ACT,Australian Capital Territory,South Canberra,Griffith (ACT),9,1,4,0,14,0.6428571428571429,0.2857142857142857,0.07142857142857142,0.0
2021-06-30,ACT,Australian Capital Territory,South Canberra,Kingston (ACT),0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,ACT,Australian Capital Territory,South Canberra,Narrabundah,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,ACT,Australian Capital Territory,South Canberra,Parkes (ACT) - South,3,1,1,0,5,0.6,0.2,0.2,0.0
2021-06-30,ACT,Australian Capital Territory,South Canberra,Red Hill (ACT),0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,ACT,Australian Capital Territory,South Canberra,Yarralumla,1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,ACT,Australian Capital Territory,Tuggeranong,Calwell,1,1,1,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2021-06-30,ACT,Australian Capital Territory,Tuggeranong,Chisholm,1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,ACT,Australian Capital Territory,Tuggeranong,Conder,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,ACT,Australian Capital Territory,Tuggeranong,Greenway,11,1,8,0,20,0.55,0.4,0.05,0.0
2021-06-30,ACT,Australian Capital Territory,Tuggeranong,Kambah,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,ACT,Australian Capital Territory,Tuggeranong,Wanniassa,1,1,1,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2021-06-30,ACT,Australian Capital Territory,Uriarra - Namadgi,ACT - South West,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,ACT,Australian Capital Territory,Weston Creek,Duffy,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,ACT,Australian Capital Territory,Weston Creek,Rivett,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,ACT,Australian Capital Territory,Weston Creek,Stirling,1,0,0,0,1,1.0,0.0,0.0,0.0
2021-06-30,ACT,Australian Capital Territory,Weston Creek,Waramanga,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,ACT,Australian Capital Territory,Weston Creek,Weston,1,1,1,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
