POW_SA2_CODE_2021,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20mo_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20mo_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20mo_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20mo_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20mo_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20mo_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20mo_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20mo_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20mo_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20mo_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20mo_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20mo_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20mo_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20mo_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20mo_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20mo_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20mo_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20mo_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20mo_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20mo_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20mo_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20mo_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20mo_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20mo_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20mo_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20mo_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20mo_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20mo_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20mo_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20mo_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
312031359,34,142,32,0,208,31,48,3,0,84,30,77,4,0,103,11,12,0,0,18,13,50,0,0,68,16,16,3,0,29,11,7,0,0,18,7,13,5,0,28,4,4,0,0,7,146,371,47,4,574,42,46,0,0,90,91,15,0,0,105,110,43,0,0,147,55,10,0,0,68,30,8,0,0,38,15,6,0,0,26,18,8,0,0,30,63,22,0,0,87,3,0,0,0,4,433,158,5,0,598,75,189,36,0,300,126,62,3,0,191,136,115,4,0,253,66,23,0,0,89,47,58,0,0,104,31,19,3,0,57,26,18,0,0,48,74,38,5,5,114,5,6,0,0,17,578,532,53,8,1176
312031360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312031361,29,68,5,0,102,7,13,0,0,25,13,25,0,0,39,0,4,0,0,0,7,33,3,0,38,0,8,0,0,8,5,14,0,0,19,3,4,0,0,11,3,4,0,0,0,72,168,15,0,248,70,37,0,0,107,42,0,0,0,41,47,22,0,0,73,30,5,0,0,36,16,8,0,0,28,0,3,0,0,6,15,0,0,0,17,24,10,0,0,32,3,0,0,0,4,241,94,0,6,340,100,105,5,0,210,46,19,0,0,68,61,44,0,0,108,31,10,0,0,40,26,40,3,0,65,0,14,0,0,14,16,17,0,0,36,23,11,0,0,35,12,4,0,0,12,318,259,15,6,591
313011362,16,40,5,0,59,22,19,0,0,44,19,26,0,0,44,3,0,0,0,3,10,11,0,0,21,8,3,0,0,7,4,0,0,0,6,8,11,0,0,13,0,0,0,0,0,85,112,9,0,202,25,15,4,0,43,60,5,0,0,63,77,18,0,0,93,40,3,0,0,42,20,3,0,0,24,11,3,0,0,16,18,0,0,0,16,29,13,0,0,36,4,0,0,0,4,276,64,3,0,343,41,55,11,0,101,81,24,0,0,104,94,44,0,0,134,43,3,0,0,46,28,15,0,0,47,18,8,0,0,30,23,0,0,0,27,34,19,0,0,51,5,0,0,0,4,360,173,11,0,546
313011363,23,74,9,0,103,34,34,0,0,69,17,21,0,0,40,4,3,0,0,4,22,22,0,0,50,15,29,0,0,46,7,4,0,0,7,4,10,0,0,15,4,0,0,0,8,134,201,12,0,355,33,20,0,0,55,74,14,0,0,89,95,27,0,0,122,59,6,0,0,68,26,7,0,0,33,19,3,0,0,23,14,0,0,0,17,41,12,0,0,49,5,0,0,0,5,365,88,3,3,456,59,90,11,0,160,110,45,0,0,158,115,51,0,0,169,59,8,0,0,68,54,33,0,0,83,33,36,0,0,70,21,4,0,0,27,47,18,0,0,63,9,0,0,0,16,504,293,14,3,808
313021364,8,16,3,0,24,10,5,5,0,17,20,19,0,0,38,0,4,0,0,9,9,13,5,0,21,4,3,0,0,6,5,3,0,0,10,4,6,3,0,12,0,0,0,0,4,53,74,8,0,140,7,5,0,0,17,21,6,0,0,23,39,3,0,0,46,25,0,0,0,28,15,4,0,0,17,3,0,0,0,3,8,4,0,0,9,12,8,0,0,21,5,0,0,0,5,130,27,0,0,161,14,18,3,0,39,32,12,3,0,44,57,27,0,0,81,25,3,0,0,29,19,19,5,0,39,10,5,0,0,12,8,3,0,0,17,18,15,3,0,31,6,0,0,0,9,184,102,13,0,301
313021366,19,78,17,0,109,18,46,4,0,67,16,44,0,0,57,6,10,0,0,14,8,21,0,0,30,11,18,7,0,36,5,0,0,0,8,0,9,0,0,13,3,0,0,0,3,88,226,30,0,349,22,20,3,0,41,66,17,0,0,80,78,27,0,0,104,60,3,0,0,69,17,8,0,0,23,19,7,0,0,21,28,0,0,0,26,55,11,0,0,60,0,6,0,0,5,343,93,0,0,438,39,91,18,0,149,84,62,4,0,144,92,66,0,0,166,65,16,0,0,81,25,29,0,0,52,28,30,7,0,65,35,5,0,0,42,53,21,0,0,78,6,3,0,0,10,436,318,34,4,787
313021367,3,19,8,0,36,9,3,0,0,7,4,12,0,0,16,4,0,0,0,4,3,12,0,0,15,0,0,0,0,0,3,3,0,0,7,0,6,0,0,3,0,0,0,0,0,30,57,11,0,95,13,7,5,0,24,6,0,0,0,6,20,0,0,0,22,11,0,0,0,11,6,6,0,0,7,3,0,0,0,3,5,0,0,0,5,13,0,0,0,16,0,0,0,0,4,77,16,5,0,103,18,33,16,0,59,17,3,0,0,15,28,11,0,0,41,13,0,0,0,13,12,16,0,0,26,3,0,0,0,6,10,3,0,0,11,11,4,0,0,23,0,5,0,0,3,116,74,12,0,195
313021368,7,3,0,0,9,4,5,0,0,12,4,8,0,0,18,3,0,0,0,7,5,7,0,0,9,6,0,0,0,6,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,30,19,0,0,55,6,7,0,0,17,21,0,0,0,18,30,3,0,0,34,18,0,0,0,18,13,0,0,0,12,3,0,0,0,3,6,0,0,0,11,20,6,0,0,26,4,0,0,0,6,128,21,0,0,153,10,10,0,0,26,27,3,0,0,32,36,14,0,0,52,23,0,0,0,24,14,3,0,0,16,8,0,0,0,8,12,0,0,0,13,24,6,0,0,33,4,0,0,0,6,157,49,0,0,204
313021369,14,35,9,0,55,5,6,0,0,10,10,17,0,0,28,0,0,0,0,0,3,18,0,0,21,0,4,0,0,7,5,4,0,0,5,0,6,0,0,3,0,0,0,0,0,45,82,16,0,137,26,33,0,0,55,9,5,0,0,15,26,3,0,0,27,13,0,0,0,13,5,5,0,0,10,7,0,0,0,5,11,0,0,0,10,11,3,0,0,11,5,0,0,0,7,100,50,0,0,158,34,68,13,0,118,15,10,0,0,24,37,21,0,0,57,16,0,0,0,17,6,23,0,0,29,6,5,0,0,12,13,5,0,0,22,11,8,0,0,13,5,6,0,0,10,144,134,12,0,298
